,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
219,278.5359285,9.5669508,18h34m08.62s,09d34m01.02s,0.0364,0.0321,-0.012,10.621,0.016,69.5,27.57,10.629,0.02,53.9,6.617,1,0,,,5,59302.84583513,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.636737,124.115086
220,278.5359298,9.5669646,18h34m08.62s,09d34m01.07s,0.0375,0.0338,-0.0111,10.637,0.017,62.4,24.0,10.637,0.02,54.2,11.87,1,0,,,5,59302.91115951,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.614256,120.033663
221,278.5358687,9.566942,18h34m08.61s,09d34m00.99s,0.0382,0.0347,0.0034,10.686,0.017,62.1,27.49,10.658,0.024,45.2,13.16,1,0,,,5,59302.97661127,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.500315,140.996891
222,278.5359004,9.5669737,18h34m08.62s,09d34m01.11s,0.0327,0.0323,-0.0106,10.67,0.016,66.3,30.25,10.691,0.02,55.5,6.59,1,0,,,5,59303.04193563,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.508063,122.727187
223,278.5359167,9.5669453,18h34m08.62s,09d34m01.00s,0.0405,0.0387,-0.0098,10.663,0.021,52.7,37.81,10.699,0.021,52.9,10.03,1,0,,,5,59303.10726002,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.614463,127.836952
224,278.5358765,9.5669513,18h34m08.61s,09d34m01.02s,0.0367,0.0353,-0.0139,10.673,0.017,63.7,18.37,10.683,0.024,44.9,9.896,1,0,,,5,59303.23803608,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.493566,136.046772
225,278.5358409,9.5669728,18h34m08.60s,09d34m01.10s,0.0361,0.0331,-0.0144,10.68,0.018,61.4,7.731,10.689,0.02,54.5,11.8,1,0,,,5,59303.36881214,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.35211,142.121057
226,278.5358637,9.5669517,18h34m08.61s,09d34m01.03s,0.038,0.0355,-0.0105,10.672,0.018,61.5,22.64,10.65,0.022,50.5,6.475,1,0,,,5,59308.46793418,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.462082,139.982075
227,278.535876,9.5669672,18h34m08.61s,09d34m01.08s,0.0388,0.0388,-0.012,10.66,0.022,50.2,33.38,10.644,0.025,43.1,10.2,1,0,,,5,59466.35339811,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.452757,131.175042
228,278.5358946,9.5669227,18h34m08.61s,09d34m00.92s,0.039,0.0374,-0.0084,10.638,0.02,55.5,12.89,10.683,0.022,48.9,5.683,1,0,,,5,59466.48353725,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.612801,138.40404
229,278.5358872,9.566941,18h34m08.61s,09d34m00.99s,0.0369,0.0358,-0.0114,10.728,0.018,59.0,29.65,10.716,0.026,41.7,11.59,1,0,,,5,59466.6148224,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.546623,135.878121
230,278.5358953,9.5669434,18h34m08.61s,09d34m01.00s,0.0369,0.034,-0.01,10.629,0.017,65.8,38.64,10.673,0.021,50.8,4.635,1,0,,,5,59466.74547094,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.56107,133.154962
231,278.5359763,9.566956,18h34m08.63s,09d34m01.04s,0.0411,0.0385,-0.0112,10.682,0.021,51.4,33.12,10.7,0.02,53.4,16.86,1,0,,,5,59466.8107952,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.774672,115.901788
232,278.5358919,9.5669291,18h34m08.61s,09d34m00.94s,0.0403,0.0354,-0.0143,10.649,0.02,54.1,24.45,10.668,0.022,48.3,8.69,1,0,,,5,59466.81092251,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.589263,137.613737
233,278.5358967,9.5669328,18h34m08.62s,09d34m00.96s,0.0378,0.0362,0.0065,10.68,0.019,58.3,51.11,10.671,0.022,49.6,7.479,1,0,,,10,59466.87624678,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.591304,135.523674
234,278.5358765,9.5669295,18h34m08.61s,09d34m00.95s,0.0395,0.0345,-0.01,10.649,0.018,59.5,27.45,10.673,0.024,44.7,4.577,1,0,,,5,59466.94157105,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.55275,141.702127
235,278.5359185,9.5669699,18h34m08.62s,09d34m01.09s,0.0368,0.0328,-0.0144,10.687,0.016,69.7,23.8,10.697,0.02,53.2,8.907,1,0,,,5,59467.00689531,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.569991,120.391458
