MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57543.508861  13.635  0.004 12759   50 c  0 6540.18 278.53578   9.56705   931.74  2364.92 4.48 3.58 -30.0 -0.466 19.40 21.34 02a57543o0554c
57543.528244  13.830  0.005 10662   54 c  0 7997.62 278.53578   9.56705  9693.68  8266.22 4.24 3.47  83.1 -0.449 19.12 21.03 02a57543o0583c
57543.544877  13.887  0.005 10117   49 c  0 10857.48 278.53578   9.56705  9711.54  8151.37 4.16 3.39  82.7 -0.460 19.43 21.38 02a57543o0611c
57543.558130  13.862  0.005 10359   47 c  0 12702.58 278.53578   9.56705  9677.23  8212.23 4.17 3.43  82.4 -0.459 19.47 21.44 02a57543o0636c
57547.482033  13.902  0.005  9981   48 c  0 4214.57 278.53578   9.56705  8072.47  2289.31 4.16 3.76  33.2 -0.471 19.56 21.59 02a57547o0456c
57547.491112  13.887  0.005 10124   47 c  0 4556.53 278.53578   9.56705  8094.32  2326.28 4.05 3.67  32.8 -0.478 19.59 21.62 02a57547o0473c
57547.502905  13.850  0.004 10467   43 c  0 15133.37 278.53578   9.56705  2524.17  8305.46 3.89 3.72 -63.6 -0.441 19.59 21.63 02a57547o0493c
57547.524375  13.823  0.004 10738   43 c  0 15252.74 278.53578   9.56705  2543.61  8191.71 3.94 3.68 -61.2 -0.444 19.59 21.66 02a57547o0530c
57562.444962  13.026  0.004 22376   90 o  0 4678.48 278.53578   9.56705   118.59   959.20 5.35 3.55 -25.5 -0.521 18.59 19.63 02a57562o0374o
57562.459774  13.024  0.004 22409   88 o  0 5478.98 278.53578   9.56705   109.61   912.11 5.32 3.58 -31.5 -0.513 18.57 19.61 02a57562o0402o
57562.475705  13.037  0.004 22148   83 o  0 6758.76 278.53578   9.56705   161.75   998.23 5.24 3.62 -30.7 -0.512 18.57 19.62 02a57562o0428o
57562.477403  13.273  0.005 17818   88 o  0 5947.56 278.53578   9.56705 10012.69   907.10 4.64 3.66  32.4 -0.561 18.55 19.55 02a57562o0431o
57562.491314  13.009  0.004 22710   87 o  0 5584.98 278.53578   9.56705   182.68   882.08 5.51 3.75 -28.3 -0.499 18.52 19.60 02a57562o0454o
57562.493168  13.155  0.005 19862   93 o  0 5000.90 278.53578   9.56705 10072.31   986.70 4.77 3.86  29.0 -0.549 18.52 19.56 02a57562o0457o
57562.507617  13.012  0.004 22664   90 o  0 4793.25 278.53578   9.56705   143.78   940.17 5.46 3.66 -26.2 -0.505 18.59 19.68 02a57562o0481o
